ja	en	zh-tw	zh-cn
インターネットアクセスが確立されていません。	You are not connected to the internet.	未連接上網際網路。	未连接网络。
イベントメイン	Principal	活動(主線)	活动（主线）
イベントフリー	Free	活動(自由)	活动（自由）
イベントの記録	Event Log	活動紀錄	活动记录
イベントシナリオ	Event Scenario	活動劇情	活动剧情
イベントクエストを進める	Continue Missão de Evento	進行活動任務	进行活动任务
イベント	Event	活動	活动
アカオニのプロフィール<br>カードを手に入れました。<br>入手したカードを<br>画面右下の「編成・強化」ボタンから<br>自分のチームに編成してみましょう！	Você conseguiu uma carta de Oni Vermelho.<br>Abra a carta e toque no botão Equipe/Aprimorar<br>no canto inferior direito da tela<br>para adicioná-lo a sua equipe.	得到赤鬼的角色卡片了。<br>利用畫面右下的「編組與強化」，<br>試著將到手的卡片編入自己的隊伍吧！	已获得红鬼的角色卡片。<br>点击画面右下方的“队伍与强化”键，<br>试着用手中的卡片组建自己的队伍吧！
アカオニのカードを編成しました！<br>次は先ほど手に入れたアイテムで<br>カードのLvを強化してみましょう。<br><br>画面左上の「戻る」ボタンから<br>一つ前の画面に戻ることができます。	A carta de Oni Vermelho foi colocada no seu time!<br>Tente usar o item que você adquiriu antes para upar o Level da carta<br>Use o botão Voltar no canto<br>superior esquerdo da tela para voltar uma tela.	編入了赤鬼的卡片！<br>接下來就試著用剛才到手的道具，<br>來強化卡片等級吧。<br>點選畫面左上的「返回」，<br>可以回到前一個畫面。	已编入红鬼的卡片！<br>下面试着用刚才获取的道具让卡片升级吧。<br>点击画面左上方的“返回”键，<br>可以返回上一个画面。
OK	OK	OK	确定
GooglePlay	Google Play	GooglePlay	GooglePlay
EV限定	Limited	活動(限定)	活动（限定）
EVフリー	Free	活動(自由)	活动（自由）
APが足りません。アイテムを使用してAPを回復しますか？	Not enough AP. Use item to replenish AP?	AP不足。是否要使用道具回復AP？	AP不足。是否要使用道具恢复AP？
７日目を超えると１日目より再開されます。	será retomado a partir do dia 1 após 7 dias terem se passado.	超過第7天便會從第1天重新開始。	第７天之后将从第１天重新开始。
※後でオプション画面から実行する事も可能です	*This can also be carried out later via the Options screen.	※之後亦可在選項畫面執行	※之后还能在选项画面进行。
【ログインボーナス】	Bônus de Login	【登入獎勵】	【登录奖励】
<br>「転光石」を手に入れました。<br><br>画面右下の「召喚ガチャ」ボタンから<br>転光召喚ガチャを１回引きましょう！	<br>Você conseguiu uma Gema Transiente.<br><br>Pressione o botão Invocar<br>no canto inferior direito da tela<br>para invocar um Transiente.	<br>獲得「轉光石」了。<br><br>點選畫面右下的「召喚轉蛋」，<br>進行1次轉光召喚轉蛋吧！	<br>获得了“转光石”。<br><br>请通过画面右下角的“召唤扭蛋”<br>按钮抽取1次转光召唤扭蛋吧！
{0}を1個消費してAPを回復します。\n本当に実行しますか？	{0} x 1 will be used to restore AP.\nAre you sure?	消耗1個{0}回復AP。\n確定要執行嗎？	消耗1个{0}恢复体力。\n确定要执行吗？
？？？（未開放）	??? (Locked)	？？？（未開放）	？？？（未解锁）
編成コスト最大値を超えています。\nコストを減らしてください。	Formation cost exceeded.\nPlease reduce cost. 	超過了編組COST的最大值。\n請降低COST。	超出了编队消耗的最大值。\n请减少消耗。
申請	Enviar	申請	申请
申請しない	Cancelar	不申請	不申请
過去に終了したイベントのクエストをプレイすることができます。\nただし、ドロップや経験値を取得することはできません。	Quests from past events can be played here.\nNote: Completion will not result in item drops or XP.	可遊玩已結束的活動任務。\n不過無法取得掉落物與經驗值。	可以进入已经完成的活动任务进行游戏，\n但无法获取掉落物品及经验值。
チーム情報を保存しました。	Equipe salva.	已儲存隊伍資訊。	已保存队伍信息。
サポートを選択して下さい(長押しで詳細表示)	Por favor, selecione um suporte. (Pressione e segure para mostrar os detalhes.)	請選擇協助者（長按顯示詳細內容）	请选择支援者（长按显示详情）
サポートしてくれたプレイヤーに戦友申請を行いますか？	Enviar um pedido de amizade para o jogador que forneceu Suporte?	要對協助的玩家提出戰友申請嗎？	要对前来支援的玩家发出战友申请吗？
クエスト初回クリアボーナスを入手しました\n（２回目以降は獲得できません）	Bônus obtido pela conclusão inicial dessa missão.\n(Bônus disponível apenas na primeira vez.)	得到任務初次通關獎勵了\n（第2次後無法獲得）	恭喜您获得了任务首通奖励\n（第2次及之后无法获得）
連続ログイン数(最大7日)	Logins Consecutivos (Máx. 7 dias)	連續登入天數（最多7天）	连续登录天数（最多7天）
利用規約	Termos de Uso	使用條款	使用条款
名前	Nome	名字	姓名
苗字	Sobrenome	姓氏	姓
任意のパスワードを入力してください。\n(パスワードに使用できる文字は「半角英数字」のみです)	Por favor, insira sua senha.\n(Apenas letras e números podem ser usados para senhas.)	請輸入任意密碼。\n（密碼只可使用「半形英文和數字」）	请输入任意密码。\n（密码中只能包含“半角英文字母或数字”）
通知設定	Opções de Notificação	通知設定	通知设置
通算ログイン数	Total logins	總登入次數	总登录次数
他端末へデータを移行する際は、前もって「引継ぎコード」を発行する必要があります。\nコード発行のためのパスワードを登録して下さい。\n(引継ぎコードの有効期限は発行から14日間です)	"Para transferir seus dados para outro dispositivo, você irá precisar de um Código de Transferência.\nPara receber seu Código de Transferência, por favor, registre uma senha.\n(Quando registrado, cada Código de Transferência será válido apenas por 14 dias.)"	將資料轉移到其他裝置前，務必先取得「繼承碼」。\n請登錄密碼，以發行繼承碼。\n（繼承碼的有效期限為發行後14天）	将数据转移到其他终端设备上时，需要提前发行“继承代码”。\n时，请登录用于发行代码的密码。\n（继承代码的有效期限为发行后的14天内）
性自認	Iden. de Gêne.	性別認同	性别认同
思い出の記憶	Memórias	回憶	回忆
最新情報	Notícias	最新資訊	最新消息
公式サイト	Site Oficial	官方網站	官方网站
基本情報	Perfil Básico	基本資訊	基本信息
確認のため、上記と同じパスワードを再入力してください。	Por favor, insira novamente a senha usada acima para confirmação.	請再次輸入與上方相同的密碼以便確認。	为了确认，请再次输入该密码。
外見タイプ	Aparência	外貌類型	外形类型
回想するシナリオを選択して下さい	Por favor, selecione um cenário para revisitar.	請選擇欲回想的劇情	请选择想要回忆的剧情
引継ぎ設定を実行可能です	Configurações podem ser mantidas na transferência.	可執行繼承設定	可执行继承设置
引継ぎコード発行	Pedir Cód. de Transf.	發行繼承碼	发行继承代码
一括ダウンロード	Pré-Download	統一資料下載	打包下载
以下の通り、設定を変更しました。	Settings have been changed as follows.	變更了以下設定。	设定变更如下。
ボイスタイプ	Tipo de Voz	語音類型	语音类型
ヘルプ	Ajuda	說明	帮助
プレイヤー名としても使用されます	(Iden. do Joga. e nome do pers. no jogo)	也會作為玩家名稱使用	也用作玩家姓名
プレイヤー名	Identificador	玩家名稱	玩家姓名
プレイヤー設定を変更できます	Mude suas Configurações do Jogador.	可變更玩家設定	可更改玩家设定
プレイヤー設定	Configurações do Jogador	玩家設定	玩家设定
プレイヤーランク経験値	XP de Rank do Jogador	玩家等級經驗值	玩家等级经验值
プレイヤーランク	Rank do Jogador	玩家等級	玩家等级
プレイヤーあだ名	Player Nickname	玩家暱稱	玩家昵称
バーをスライドさせ、最適な音量を設定して下さい	Deslize a barra para definir o volume.	請滑動音量條，設定適合的音量	请滑动音量条，设置合适的音量
データ引継ぎ	Transferir Dados	繼承資料	继承数据
ダウンロードが完了しました。	Download complete.	已完成下載。	已完成下载。
タイトル画面へ	Para À Tela de Título	回到標題畫面	返回标题画面
サウンド設定	Opções de som	音效設定	声音设置
